client_id,district_id,birth_date,female
1,18,1970-12-13,TRUE
2,1,1945-02-04,FALSE
3,1,1940-10-09,TRUE
4,5,1956-12-01,FALSE
5,5,1960-07-03,TRUE
6,12,1919-09-22,FALSE
7,15,1929-01-25,FALSE
8,51,1938-02-21,TRUE
9,60,1935-10-16,FALSE
10,57,1943-05-01,FALSE
11,57,1950-08-22,TRUE
12,40,1981-02-20,FALSE
13,54,1974-05-29,TRUE
14,76,1942-06-22,TRUE
15,21,1918-08-28,TRUE
16,21,1919-02-25,FALSE
17,76,1934-10-13,FALSE
18,76,1931-04-05,TRUE
19,47,1942-12-28,FALSE
20,46,1979-01-04,FALSE
21,12,1952-10-29,TRUE
22,1,1969-10-11,TRUE
23,1,1973-05-29,FALSE
24,43,1939-07-29,TRUE
25,21,1939-04-23,TRUE
26,74,1969-04-20,TRUE
27,54,1966-03-26,TRUE
28,1,1945-09-29,FALSE
29,30,1951-09-11,TRUE
30,74,1957-10-09,TRUE
31,68,1962-02-09,FALSE
32,52,1980-07-28,FALSE
33,73,1948-12-04,TRUE
36,7,1978-07-17,TRUE
37,7,1970-08-10,FALSE
38,36,1973-07-23,TRUE
39,68,1968-01-25,FALSE
40,5,1957-01-22,TRUE
41,22,1968-08-27,FALSE
42,68,1935-08-17,FALSE
43,75,1920-10-28,FALSE
44,38,1977-01-11,TRUE
45,20,1952-08-26,FALSE
46,19,1940-01-30,TRUE
47,76,1934-07-14,FALSE
48,16,1940-02-09,FALSE
49,72,1959-05-11,TRUE
50,39,1978-07-30,TRUE
51,36,1979-12-02,TRUE
52,32,1924-12-12,FALSE
53,64,1977-05-05,FALSE
55,45,1948-09-18,TRUE
56,21,1960-03-31,FALSE
57,21,1961-12-17,TRUE
58,1,1927-04-29,TRUE
59,1,1957-02-18,FALSE
60,67,1980-02-19,FALSE
61,16,1948-08-06,TRUE
62,77,1932-12-08,FALSE
63,4,1959-06-04,FALSE
64,20,1926-04-22,FALSE
65,50,1943-05-27,TRUE
66,1,1951-11-10,TRUE
67,29,1932-11-11,TRUE
68,43,1946-12-14,FALSE
70,70,1925-12-22,FALSE
71,70,1927-02-06,TRUE
72,47,1923-01-13,FALSE
73,22,1924-02-20,FALSE
74,22,1925-07-26,TRUE
75,64,1977-09-19,TRUE
76,36,1967-10-01,TRUE
77,1,1956-02-18,TRUE
78,16,1944-06-13,TRUE
79,37,1969-03-10,TRUE
80,64,1979-02-25,TRUE
81,8,1976-04-29,FALSE
82,8,1979-12-25,TRUE
83,1,1978-12-25,TRUE
84,1,1979-05-05,FALSE
85,1,1961-08-27,FALSE
86,1,1969-07-20,TRUE
87,72,1946-11-17,TRUE
89,1,1951-05-05,TRUE
90,52,1975-08-17,FALSE
91,63,1940-08-07,FALSE
92,74,1966-06-12,TRUE
93,3,1925-02-16,FALSE
94,43,1947-09-09,FALSE
95,43,1952-08-03,TRUE
96,74,1972-02-29,FALSE
97,26,1965-11-28,FALSE
98,33,1973-05-04,TRUE
99,33,1973-01-26,FALSE
100,44,1942-08-11,TRUE
101,68,1943-01-23,FALSE
102,74,1958-09-10,TRUE
103,74,1955-07-11,FALSE
105,31,1980-05-26,FALSE
106,68,1968-12-30,TRUE
107,1,1972-06-23,FALSE
108,17,1963-09-13,FALSE
110,2,1967-04-13,TRUE
112,1,1935-01-25,FALSE
113,1,1940-08-15,TRUE
114,74,1969-06-24,TRUE
115,74,1969-12-24,FALSE
116,74,1942-01-28,FALSE
117,74,1936-09-20,TRUE
118,55,1922-07-19,FALSE
119,55,1922-02-28,TRUE
120,1,1976-05-10,FALSE
121,41,1978-10-29,TRUE
122,35,1963-11-13,TRUE
123,11,1969-02-12,FALSE
124,44,1967-09-21,FALSE
125,37,1936-10-31,FALSE
126,37,1929-09-27,TRUE
127,21,1950-12-27,TRUE
128,63,1973-04-04,TRUE
129,64,1947-05-31,TRUE
130,53,1942-02-14,FALSE
131,53,1977-01-31,TRUE
132,36,1953-01-26,FALSE
134,6,1932-01-18,FALSE
135,6,1938-09-10,TRUE
136,55,1921-01-26,TRUE
137,60,1923-09-14,FALSE
138,54,1972-10-21,TRUE
139,8,1959-07-25,TRUE
140,8,1961-06-06,FALSE
141,31,1925-11-02,FALSE
142,68,1937-06-21,FALSE
143,27,1978-07-09,FALSE
144,65,1958-12-06,FALSE
145,55,1978-02-14,FALSE
146,31,1961-12-19,TRUE
147,21,1933-11-02,TRUE
148,21,1940-12-25,FALSE
149,55,1948-06-27,FALSE
150,2,1980-09-27,TRUE
151,51,1971-09-23,TRUE
152,29,1945-12-02,TRUE
153,13,1981-02-12,TRUE
154,74,1933-08-27,FALSE
155,74,1939-03-13,TRUE
156,54,1930-07-22,TRUE
157,52,1943-07-09,TRUE
158,40,1945-07-03,TRUE
159,40,1938-09-10,FALSE
160,64,1942-04-26,TRUE
161,34,1943-10-07,TRUE
162,65,1941-10-17,FALSE
163,74,1933-06-12,FALSE
164,70,1962-04-04,TRUE
165,22,1968-11-08,FALSE
166,22,1961-10-22,TRUE
167,38,1978-04-18,TRUE
168,24,1976-11-05,TRUE
169,38,1953-09-12,FALSE
170,38,1946-06-16,TRUE
171,51,1929-06-25,FALSE
172,51,1935-10-05,TRUE
173,21,1918-12-08,TRUE
174,10,1978-11-10,FALSE
175,31,1960-07-13,FALSE
176,4,1929-03-11,FALSE
178,8,1960-12-22,FALSE
179,43,1980-12-29,FALSE
180,73,1982-01-19,FALSE
181,76,1967-07-06,FALSE
182,76,1959-07-13,TRUE
183,1,1978-03-19,TRUE
184,1,1972-06-05,FALSE
185,77,1954-05-30,FALSE
186,46,1961-02-22,TRUE
187,58,1942-08-23,FALSE
188,64,1960-09-02,FALSE
189,11,1919-08-10,FALSE
190,37,1947-10-31,TRUE
191,37,1954-09-03,FALSE
192,70,1971-02-28,FALSE
193,1,1962-05-01,FALSE
194,28,1924-12-20,TRUE
195,74,1919-11-18,FALSE
196,74,1927-06-25,TRUE
197,30,1933-04-25,FALSE
198,60,1976-07-14,FALSE
199,29,1923-06-21,FALSE
200,29,1928-01-13,TRUE
201,17,1930-08-19,TRUE
202,29,1976-11-21,TRUE
203,31,1962-06-10,FALSE
204,31,1967-06-17,TRUE
205,4,1942-06-15,TRUE
206,59,1963-04-13,TRUE
207,46,1932-05-20,FALSE
208,13,1940-06-25,TRUE
209,13,1935-08-20,FALSE
210,66,1939-11-30,FALSE
211,66,1945-06-28,TRUE
212,52,1975-02-10,FALSE
215,71,1967-09-24,FALSE
216,1,1960-01-30,FALSE
217,59,1974-12-22,TRUE
218,1,1980-01-23,TRUE
219,60,1964-04-02,TRUE
221,21,1977-02-25,TRUE
222,47,1972-06-29,TRUE
223,43,1952-02-27,TRUE
224,77,1955-05-11,FALSE
225,32,1936-05-10,FALSE
226,1,1942-06-16,FALSE
227,52,1926-12-18,TRUE
228,48,1956-03-16,TRUE
229,76,1969-07-22,FALSE
230,74,1967-03-10,TRUE
231,41,1941-02-18,FALSE
232,55,1921-06-17,TRUE
233,69,1958-12-03,TRUE
234,69,1955-06-21,FALSE
235,44,1943-08-28,TRUE
236,70,1961-09-01,FALSE
237,70,1969-02-22,TRUE
238,6,1961-11-28,TRUE
239,1,1974-09-10,TRUE
240,34,1929-06-17,TRUE
241,70,1959-01-23,FALSE
242,17,1961-08-01,TRUE
243,63,1954-02-10,FALSE
246,67,1970-12-28,TRUE
247,1,1957-05-08,FALSE
248,61,1969-12-12,TRUE
249,61,1970-05-05,FALSE
250,8,1979-11-25,TRUE
251,54,1976-03-03,TRUE
252,37,1969-09-01,TRUE
253,48,1947-05-12,TRUE
254,28,1963-05-30,FALSE
255,27,1951-10-11,TRUE
256,73,1963-02-27,TRUE
257,22,1942-11-04,TRUE
258,22,1937-05-31,FALSE
259,31,1966-06-08,FALSE
260,31,1962-02-24,TRUE
261,38,1937-12-07,TRUE
262,77,1945-11-25,FALSE
263,68,1962-05-20,FALSE
264,28,1978-08-22,FALSE
265,72,1933-01-07,TRUE
266,19,1967-08-28,TRUE
267,37,1967-06-12,FALSE
268,39,1982-05-02,TRUE
269,15,1923-12-03,TRUE
270,46,1947-03-08,FALSE
271,46,1945-07-27,TRUE
272,70,1944-10-25,TRUE
273,27,1972-05-15,TRUE
274,17,1970-11-25,TRUE
275,1,1918-11-12,TRUE
276,1,1957-06-11,FALSE
277,1,1961-11-28,TRUE
278,22,1972-12-27,TRUE
279,22,1970-05-16,FALSE
